tagID,datetime,event
2364,2019-08-07 12:00:24.750,exiting
2364,2019-08-07 12:03:03.100,exiting
2364,2019-08-07 12:05:20.550,exiting
2364,2019-08-07 12:05:57.100,entering
2364,2019-08-07 12:18:58.450,exiting
2364,2019-08-07 12:19:56.250,exiting
2364,2019-08-07 12:20:38.350,entering
2364,2019-08-07 12:21:21.550,entering
2364,2019-08-07 12:22:18.100,exiting
2364,2019-08-07 12:22:58.800,exiting
2364,2019-08-07 12:23:33.100,exiting
2364,2019-08-07 12:27:04.550,entering
2364,2019-08-07 12:31:46.000,entering
2364,2019-08-07 12:37:52.400,exiting
2364,2019-08-07 12:39:05.350,exiting
2364,2019-08-07 12:39:31.500,exiting
2364,2019-08-07 12:41:30.200,entering
2364,2019-08-07 12:43:50.200,exiting
2364,2019-08-07 12:44:31.600,entering
2364,2019-08-07 12:48:22.200,entering
2364,2019-08-07 12:48:44.450,entering
2364,2019-08-07 12:54:10.700,entering
2364,2019-08-07 12:57:32.000,exiting
2364,2019-08-07 12:57:56.200,entering
2364,2019-08-07 12:58:36.000,exiting
2364,2019-08-07 13:02:18.700,exiting
2364,2019-08-07 13:03:40.900,entering
2364,2019-08-07 13:04:35.600,exiting
2364,2019-08-07 13:05:53.150,exiting
2364,2019-08-07 13:06:44.100,entering
2364,2019-08-07 13:07:30.400,exiting
2364,2019-08-07 13:07:50.500,exiting
2364,2019-08-07 13:08:11.050,exiting
2364,2019-08-07 13:09:02.650,exiting
2364,2019-08-07 13:10:51.700,entering
2364,2019-08-07 13:11:21.300,exiting
2364,2019-08-07 13:11:54.650,entering
2364,2019-08-07 13:12:24.300,entering
2364,2019-08-07 13:14:12.350,exiting
2364,2019-08-07 13:15:40.650,entering
2364,2019-08-07 13:16:40.750,exiting
2364,2019-08-07 13:18:08.350,exiting
2364,2019-08-07 13:19:25.950,exiting
2364,2019-08-07 13:20:25.250,exiting
2364,2019-08-07 13:21:33.400,exiting
2364,2019-08-07 13:23:03.000,entering
2364,2019-08-07 13:24:32.600,exiting
2364,2019-08-07 13:25:45.400,exiting
2364,2019-08-07 13:28:43.100,exiting
2364,2019-08-07 13:30:07.000,exiting
2364,2019-08-07 13:31:50.450,entering
2364,2019-08-07 13:32:33.850,entering
2364,2019-08-07 13:33:14.100,exiting
2364,2019-08-07 13:36:40.200,exiting
2364,2019-08-07 13:37:52.150,exiting
2364,2019-08-07 13:39:08.250,exiting
2364,2019-08-07 13:40:33.600,entering
2364,2019-08-07 13:41:53.450,exiting
2364,2019-08-07 13:43:18.550,exiting
2364,2019-08-07 13:44:36.850,exiting
2364,2019-08-07 13:45:23.700,exiting
2364,2019-08-07 13:45:51.000,entering
2364,2019-08-07 13:46:21.250,exiting
2364,2019-08-07 13:47:09.300,exiting
2364,2019-08-07 13:48:26.250,entering
2364,2019-08-07 13:49:59.450,entering
2380,2019-08-15 17:03:32.100,entering
2380,2019-08-15 17:09:34.350,exiting
2380,2019-08-15 17:10:07.050,exiting
2418,2019-08-07 13:38:21.250,entering
2421,2019-08-09 06:37:52.250,exiting
2421,2019-08-15 17:36:56.750,entering
2428,2019-08-07 11:49:58.800,entering
2428,2019-08-07 11:55:02.750,exiting
2428,2019-08-07 13:28:17.700,entering
2428,2019-08-07 13:32:19.050,exiting
243,2019-08-07 11:06:12.100,exiting
2442,2019-08-15 16:09:53.700,exiting
2469,2019-08-15 15:55:02.250,exiting
2469,2019-08-15 16:03:46.200,exiting
2469,2019-08-15 16:21:29.950,exiting
2469,2019-08-15 16:25:34.750,exiting
2469,2019-08-15 16:32:20.750,entering
2469,2019-08-15 16:51:13.600,entering
2469,2019-08-15 16:52:40.350,entering
2515,2019-08-07 12:19:50.200,entering
2515,2019-08-07 13:00:44.850,exiting
2515,2019-08-07 13:51:15.550,entering
2515,2019-08-15 15:55:24.900,exiting
2542,2019-08-15 16:11:44.100,entering
2542,2019-08-15 16:36:09.050,exiting
2543,2019-08-07 12:12:10.400,entering
2543,2019-08-07 12:37:47.100,exiting
2546,2019-08-15 17:31:30.700,exiting
259,2019-08-07 11:01:37.350,exiting
2594,2019-08-07 12:43:54.200,entering
2594,2019-08-15 16:32:31.050,exiting
261,2019-08-09 06:21:47.450,entering
2624,2019-08-07 12:20:03.650,exiting
2624,2019-08-07 12:27:12.500,entering
2624,2019-08-07 12:46:31.200,exiting
2629,2019-08-15 17:10:41.050,exiting
2629,2019-08-15 17:34:07.750,exiting
2629,2019-08-15 17:34:26.800,entering
2629,2019-08-15 17:36:24.350,exiting
2629,2019-08-15 17:37:07.300,entering
2629,2019-08-15 17:48:48.050,exiting
2629,2019-08-15 17:50:18.800,exiting
2629,2019-08-15 17:59:38.450,exiting
2634,2019-08-09 06:16:33.150,exiting
2645,2019-08-15 16:59:24.000,exiting
2645,2019-08-15 17:30:38.050,exiting
